FECHA_CORTE;ANIO;MES;SEMANA;DIA;TURNO 1;TURNO 2;TURNO 3;TOTAL;UNIDAD
2023-11-30;2023;11;1;MIÉRCOLES;69.11;64.26;75.37;208.74;TONELADAS
2023-11-30;2023;11;1;JUEVES;80.62;69.11;62.85;212.58;TONELADAS
2023-11-30;2023;11;1;VIERNES;73.35;68.1;82.91;224.36;TONELADAS
2023-11-30;2023;11;1;SÁBADO;65.85;76.65;68.39;210.89;TONELADAS
2023-11-30;2023;11;1;DOMINGO;68.1;14.11;68.39;150.6;TONELADAS
2023-11-30;2023;11;1;LUNES;73.35;62.85;54.59;190.79;TONELADAS
2023-11-30;2023;11;1;MARTES;49.34;62.85;68.39;180.58;TONELADAS
2023-11-30;2023;11;2;MIÉRCOLES;60.89;71.11;76.65;208.65;TONELADAS
2023-11-30;2023;11;2;JUEVES;71.11;76.96;82.6;230.67;TONELADAS
2023-11-30;2023;11;2;VIERNES;87.75;71.11;82.5;241.36;TONELADAS
2023-11-30;2023;11;2;SÁBADO;81.49;76.96;88.45;246.9;TONELADAS
2023-11-30;2023;11;2;DOMINGO;79.79;69.16;70.49;219.44;TONELADAS
2023-11-30;2023;11;2;LUNES;75.63;85.22;70.7;231.55;TONELADAS
2023-11-30;2023;11;2;MARTES;87.46;84.62;90.76;262.84;TONELADAS
2023-11-30;2023;11;3;MIÉRCOLES;88.06;82.81;74.55;245.42;TONELADAS
2023-11-30;2023;11;3;JUEVES;85.81;82.81;60.75;229.37;TONELADAS
2023-11-30;2023;11;3;VIERNES;66;51.54;58.8;176.34;TONELADAS
2023-11-30;2023;11;3;SÁBADO;77.85;71.42;69.01;218.28;TONELADAS
2023-11-30;2023;11;3;DOMINGO;74.26;49.05;82.81;206.12;TONELADAS
2023-11-30;2023;11;3;LUNES;72.6;82.81;73.7;229.11;TONELADAS
2023-11-30;2023;11;3;MARTES;75.95;78.96;71.42;226.33;TONELADAS
2023-11-30;2023;11;4;MIÉRCOLES;54.95;85.22;85.22;225.39;TONELADAS
2023-11-30;2023;11;4;JUEVES;91.48;91.48;83.22;266.18;TONELADAS
2023-11-30;2023;11;4;VIERNES;73.96;83.22;83.22;240.4;TONELADAS
2023-11-30;2023;11;4;SÁBADO;88.22;81.27;77.37;246.86;TONELADAS
2023-11-30;2023;11;4;DOMINGO;80.22;83.22;77.37;240.81;TONELADAS
2023-11-30;2023;11;4;LUNES;79.62;83.22;77.37;240.21;TONELADAS
2023-11-30;2023;11;4;MARTES;63.15;83.22;85.63;232;TONELADAS
2023-11-30;2023;11;5;MIÉRCOLES;72.42;85.63;85.63;243.68;TONELADAS
2023-11-30;2023;11;5;JUEVES;82.63;77.37;85.63;245.63;TONELADAS
;;;;;;;;;
